,train,test,activation,hidden_layer_sizes,Data Transformers
36,"[0.8606055514924031, 0.9123589143015188, 0.71009289122375]","[0.8606055514924031, 0.9123589143015188, 0.71009289122375]",logistic,"(7,)",age and simple body
37,"[0.873409794854823, 0.9275960654446586, 0.6736182139403653]","[0.873409794854823, 0.9275960654446586, 0.6736182139403653]",logistic,"(8,)",age and simple body
38,"[0.8440504530973529, 0.8782424454441133, 0.6483753338134125]","[0.8440504530973529, 0.8782424454441133, 0.6483753338134125]",logistic,"(9,)",age and simple body
39,"[0.8624021792460149, 0.9087307919935124, 0.6593251923861334]","[0.8624021792460149, 0.9087307919935124, 0.6593251923861334]",logistic,"(10,)",age and simple body
40,"[0.8063208445059638, 0.9023928077430481, 0.6313482817062797]","[0.8063208445059638, 0.9023928077430481, 0.6313482817062797]",logistic,"(11,)",age and simple body
41,"[0.8348632217726258, 0.8979805259108732, 0.6558892093951791]","[0.8348632217726258, 0.8979805259108732, 0.6558892093951791]",logistic,"(12,)",age and simple body
42,"[0.8152964318590482, 0.904953241182278, 0.672708473985081]","[0.8152964318590482, 0.904953241182278, 0.672708473985081]",logistic,"(13,)",age and simple body
43,"[0.8166356838131825, 0.8832707936747489, 0.7246910525222848]","[0.8166356838131825, 0.8832707936747489, 0.7246910525222848]",logistic,"(14,)",age and simple body
44,"[0.8300433373137416, 0.9199680007737405, 0.7285351189414335]","[0.8300433373137416, 0.9199680007737405, 0.7285351189414335]",logistic,"(15,)",age and simple body
45,"[0.8626474487028941, 0.914943283578743, 0.7358058665045615]","[0.8626474487028941, 0.914943283578743, 0.7358058665045615]",relu,"(1,)",age and simple body
46,"[0.7972158028319973, 0.9519826086905124, 0.6209460080310137]","[0.7972158028319973, 0.9519826086905124, 0.6209460080310137]",relu,"(2,)",age and simple body
47,"[0.8585875333930396, 0.9233389238160933, 0.7556457286772251]","[0.8585875333930396, 0.9233389238160933, 0.7556457286772251]",relu,"(3,)",age and simple body
48,"[0.8292825155205164, 0.9005418086588837, 0.7264946659017488]","[0.8292825155205164, 0.9005418086588837, 0.7264946659017488]",relu,"(4,)",age and simple body
49,"[0.8211773740676986, 0.9219914479206593, 0.7179419012030207]","[0.8211773740676986, 0.9219914479206593, 0.7179419012030207]",relu,"(5,)",age and simple body
50,"[0.8190576164766349, 0.9042265716291208, 0.7300396205470242]","[0.8190576164766349, 0.9042265716291208, 0.7300396205470242]",relu,"(6,)",age and simple body
51,"[0.8357567502091281, 0.9202636389559414, 0.7303726258379776]","[0.8357567502091281, 0.9202636389559414, 0.7303726258379776]",relu,"(7,)",age and simple body
52,"[0.8252997816060774, 0.875989357010444, 0.6731915152100644]","[0.8252997816060774, 0.875989357010444, 0.6731915152100644]",relu,"(8,)",age and simple body
53,"[0.8741450958728793, 0.8640442872304211, 0.6994622630768028]","[0.8741450958728793, 0.8640442872304211, 0.6994622630768028]",relu,"(9,)",age and simple body
54,"[0.8115615361855422, 0.8436704485331872, 0.6574697507805035]","[0.8115615361855422, 0.8436704485331872, 0.6574697507805035]",relu,"(10,)",age and simple body
55,"[0.8158418831375389, 0.8866478015044491, 0.7161605376880164]","[0.8158418831375389, 0.8866478015044491, 0.7161605376880164]",relu,"(11,)",age and simple body
56,"[0.7929187103861507, 0.8747044586400522, 0.7702442907993571]","[0.7929187103861507, 0.8747044586400522, 0.7702442907993571]",relu,"(12,)",age and simple body
57,"[0.7923279586831322, 0.9042971461417018, 0.6969426857236437]","[0.7923279586831322, 0.9042971461417018, 0.6969426857236437]",relu,"(13,)",age and simple body
58,"[0.7907409057869025, 0.792968682698375, 0.6771837953024609]","[0.7907409057869025, 0.792968682698375, 0.6771837953024609]",relu,"(14,)",age and simple body
59,"[0.7885487954423747, 0.8687763414310264, 0.6674032756826687]","[0.7885487954423747, 0.8687763414310264, 0.6674032756826687]",relu,"(15,)",age and simple body
60,"[0.8447348245875715, 0.8783007462732004, 0.7525503388673377]","[0.8447348245875715, 0.8783007462732004, 0.7525503388673377]",logistic,"(1,)",age and complex body
61,"[0.8430526503762947, 0.8635188085234549, 0.7019242612622763]","[0.8430526503762947, 0.8635188085234549, 0.7019242612622763]",logistic,"(2,)",age and complex body
62,"[0.8284712811404181, 0.8550447957632918, 0.6055335243127248]","[0.8284712811404181, 0.8550447957632918, 0.6055335243127248]",logistic,"(3,)",age and complex body
63,"[0.8322689326185344, 0.7849821521307434, 0.6694195303153601]","[0.8322689326185344, 0.7849821521307434, 0.6694195303153601]",logistic,"(4,)",age and complex body
64,"[0.8258790564200952, 0.8000251832949193, 0.6742828175988653]","[0.8258790564200952, 0.8000251832949193, 0.6742828175988653]",logistic,"(5,)",age and complex body
65,"[0.8406341323925112, 0.8425716544461335, 0.5634529860398889]","[0.8406341323925112, 0.8425716544461335, 0.5634529860398889]",logistic,"(6,)",age and complex body
66,"[0.8261668386227634, 0.8404211692560946, 0.6365387506503515]","[0.8261668386227634, 0.8404211692560946, 0.6365387506503515]",logistic,"(7,)",age and complex body
67,"[0.8357324442614738, 0.8472231371357232, 0.6269721179375349]","[0.8357324442614738, 0.8472231371357232, 0.6269721179375349]",logistic,"(8,)",age and complex body
68,"[0.81470533575116, 0.8594865711901495, 0.6960808791477531]","[0.81470533575116, 0.8594865711901495, 0.6960808791477531]",logistic,"(9,)",age and complex body
69,"[0.8278493067683463, 0.8473874533766361, 0.674280891378946]","[0.8278493067683463, 0.8473874533766361, 0.674280891378946]",logistic,"(10,)",age and complex body
70,"[0.8635801040308365, 0.8366629563464203, 0.6213797833475692]","[0.8635801040308365, 0.8366629563464203, 0.6213797833475692]",logistic,"(11,)",age and complex body
