file,landmark,x,y,z
CanCan02_A 2025-11-13_11-42-08.obj,r_armpit,-17.12346879,nan,121.8843997
CanCan02_A 2025-11-13_11-42-08.obj,l_armpit,14.06736596,nan,119.8615246
CanCan02_A 2025-11-13_11-42-08.obj,r_hip,-20.03,3.11,87.77651685
CanCan02_A 2025-11-13_11-42-08.obj,l_hip,14.69,6.08,87.77651685
CanCan02_A 2025-11-13_11-42-08.obj,r_foot,-17.04,13.05,-7.990820364e-16
CanCan02_A 2025-11-13_11-42-08.obj,l_foot,18.76,10.34,-0.01
CanCan02_A 2025-11-13_11-42-08.obj,crotch,-2.66,4.34,75.91963417
CanCan02_A 2025-11-13_11-42-08.obj,l_ankle,13.55428571,9.397619048,13.97571429
CanCan02_A 2025-11-13_11-42-08.obj,r_ankle,-14.2524,8.646,15.4588
CanCan02_A 2025-11-13_11-42-08.obj,lShoulder,14.92,10.9,142.16
CanCan02_A 2025-11-13_11-42-08.obj,rShoulder,-17.58,7.02,142.17
CanCan02_A 2025-11-13_11-42-08.obj,collar,-1.33,8.96,142.165
CanCan02_A 2025-11-13_11-42-08.obj,lowerBack,2.79,18.55,89.57
CanCan02_A 2025-11-13_11-42-08.obj,nose_tip,-2.01,-6.4,156.32
CanCan02_B 2025-11-13_11-50-16.obj,r_wrist,-33.6225,10.29416667,70.04666667
CanCan02_B 2025-11-13_11-50-16.obj,l_wrist,33.92153846,8.870769231,87.52461538
CanCan02_B 2025-11-13_11-50-16.obj,r_armpit,-14.21384552,nan,123.3148069
CanCan02_B 2025-11-13_11-50-16.obj,l_armpit,18.71144077,nan,122.6118954
CanCan02_B 2025-11-13_11-50-16.obj,r_hip,-18.4,13.92,84.09216216
CanCan02_B 2025-11-13_11-50-16.obj,l_hip,18.26,11.64,84.09216216
CanCan02_B 2025-11-13_11-50-16.obj,r_foot,-16.78,19.96,-1.222197506e-15
CanCan02_B 2025-11-13_11-50-16.obj,l_foot,23.7,-2.4,-0.04
CanCan02_B 2025-11-13_11-50-16.obj,crotch,-0.01,11.29,75.63009976
CanCan02_B 2025-11-13_11-50-16.obj,l_ankle,17.19,16.905,15.41333333
